inflation_t1_disc,inflation_t1_disc(0.0),inflation_t1_disc(1.0),inflation_t1_disc(2.0)
housing_price_t1_disc(0.0),0.02080705375686454,0.19581651173543682,0.21551487761931665
housing_price_t1_disc(1.0),0.9791849827351145,0.3664092530865476,0.02383194087934378
housing_price_t1_disc(2.0),7.963508020845277e-06,0.43777423517801567,0.7606531815013396
