loan_amnt_disc,loan_amnt_disc(0.0),loan_amnt_disc(1.0),loan_amnt_disc(2.0)
installment_disc(0.0),0.9979627648493965,0.16894643581900434,9.922008399095482e-05
installment_disc(1.0),0.002019581466456235,0.8178402082776508,0.17649406986939867
installment_disc(2.0),1.765368414734471e-05,0.013213355903344916,0.8234067100466104
