home_ownership,home_ownership(ANY),home_ownership(MORTGAGE),home_ownership(NONE),home_ownership(OTHER),home_ownership(OWN),home_ownership(RENT)
fico_bucket_pct(Deep Subprime),0.33704735376044576,0.43616240718622595,0.24137931034482757,0.34693877551020413,0.4548019886090817,0.50152404140999
fico_bucket_pct(Near Prime),0.13649025069637882,0.13029189887424342,0.03448275862068965,0.028571428571428577,0.12309135634663258,0.11950864538805846
fico_bucket_pct(Prime),0.23676880222841226,0.1447954238386851,0.6551724137931033,0.22448979591836735,0.13417201616298913,0.1216834936704226
fico_bucket_pct(Subprime),0.1532033426183844,0.1787319626061704,0.03448275862068965,0.2,0.17202355009566303,0.17893253027487663
fico_bucket_pct(Super-prime),0.13649025069637882,0.11001830749467517,0.03448275862068965,0.2,0.11591108878563355,0.07835128925665223
