unemployment_rate_t1_disc,unemployment_rate_t1_disc(0.0),unemployment_rate_t1_disc(1.0),unemployment_rate_t1_disc(2.0)
fedfunds_t1_disc(0.0),0.7927388568840625,0.9954505497389069,0.9999451023018605
fedfunds_t1_disc(1.0),0.20238722044290794,0.004533049935710724,2.744884906975851e-05
fedfunds_t1_disc(2.0),0.004873922673029391,1.640032538245559e-05,2.744884906975851e-05
