emp_length,emp_length(1 year),emp_length(10+ years),emp_length(2 years),emp_length(3 years),emp_length(4 years),emp_length(5 years),emp_length(6 years),emp_length(7 years),emp_length(8 years),emp_length(9 years),emp_length(< 1 year)
home_ownership(ANY),0.00022445125537909043,0.00015793799940854738,0.00034088552027121226,0.0006668953164894629,0.00036179255433613087,0.0005475404374315575,0.0002566638939472284,0.0002835171020827125,0.00042339828221268363,0.00017567821689084198,0.0003009558717838149
home_ownership(MORTGAGE),0.25899131826966876,0.5265555115028052,0.2773915541999476,0.307845898042236,0.33865262534968793,0.3660696973917413,0.3985278358550092,0.4211015363729678,0.4274341229815582,0.4471456001266863,0.23889517751904557
home_ownership(NONE),7.850265582224344e-05,1.481594741168362e-06,6.0356289125326846e-05,5.0142504999207745e-06,6.724768667957822e-06,6.827187499146601e-06,9.367295399533883e-06,1.03473394920698e-05,1.0428529118539006e-05,1.2371705414848027e-05,0.00012307747592353027
home_ownership(OTHER),0.0003703998549359374,9.926684765828026e-05,0.00034088552027121226,0.0003359547834946919,9.549171508500107e-05,9.694606248788173e-05,0.0005039604924949229,0.00014693222078739115,0.00014808511348325386,1.2371705414848027e-05,0.0006567126635043842
home_ownership(OWN),0.10443175133896783,0.1261444578578155,0.10497828873768644,0.10901682581897751,0.11211937809339358,0.11391708517326035,0.11388945092661286,0.10845874308797723,0.10889678676160801,0.10779466927957086,0.10074295673422452
home_ownership(RENT),0.6359035766252261,0.3470413441975712,0.6168880297326981,0.5821294117883022,0.5487639875188294,0.5193619037475797,0.48681272153653615,0.46999892387669284,0.46308717833201934,0.4448593089660224,0.6592811197355183
