threshold,accuracy_mean,accuracy_ci_lower,accuracy_ci_upper,precision_0_mean,precision_0_ci_lower,precision_0_ci_upper,precision_1_mean,precision_1_ci_lower,precision_1_ci_upper,recall_0_mean,recall_0_ci_lower,recall_0_ci_upper,recall_1_mean,recall_1_ci_lower,recall_1_ci_upper,f1_0_mean,f1_0_ci_lower,f1_0_ci_upper,f1_1_mean,f1_1_ci_lower,f1_1_ci_upper,TPR_mean,TPR_ci_lower,TPR_ci_upper,TNR_mean,TNR_ci_lower,TNR_ci_upper,FPR_mean,FPR_ci_lower,FPR_ci_upper,FNR_mean,FNR_ci_lower,FNR_ci_upper
0.15,0.5132838903341149,0.49340418312730977,0.5306736020586579,0.900773455863208,0.8909616380401785,0.9107041051085054,0.20420960680331102,0.19584782926859373,0.21211772752935046,0.4744241593189512,0.4524264409496731,0.49424356067678005,0.720839026257762,0.6973534971644613,0.7463828271466068,0.6214263564748709,0.6004655638603406,0.6406402393412418,0.3182456918890805,0.3062059509118333,0.32927423280445484,0.720839026257762,0.6973534971644613,0.7463828271466068,0.4744241593189512,0.4524264409496731,0.49424356067678005,0.5255758406810488,0.5057564393232199,0.5475735590503268,0.279160973742238,0.25361717285339336,0.3026465028355388
0.2,0.69155594379013,0.6788427029590818,0.7084171895163686,0.8685610869775482,0.8608651569213625,0.8791419923037709,0.22310392847530536,0.20420372783411705,0.25294123201269025,0.7474225277841203,0.7361407160843617,0.7594967794313734,0.3906703860151731,0.35712430508736837,0.43957768836058914,0.8034294725117712,0.7945481172249154,0.8143356076793223,0.28395092661467436,0.26141563166528314,0.3211094406869457,0.3906703860151731,0.35712430508736837,0.43957768836058914,0.7474225277841203,0.7361407160843617,0.7594967794313734,0.2525774722158797,0.2405032205686266,0.26385928391563823,0.6093296139848269,0.5604223116394108,0.6428756949126317
0.25,0.8135468845703997,0.8079783395561903,0.8200038661403347,0.8513274699042102,0.8470652374239126,0.8572763519999524,0.2728158998495199,0.23119093527577425,0.3137728721520482,0.9436820041005276,0.9386600064926225,0.9504618763025804,0.11384219822821535,0.090715667311412,0.13251361850330418,0.8951225247521559,0.8916738159711978,0.8989607249889688,0.16050194063335427,0.1302953567071065,0.18149711294226237,0.11384219822821535,0.090715667311412,0.13251361850330418,0.9436820041005276,0.9386600064926225,0.9504618763025804,0.05631799589947241,0.04953812369741964,0.061339993507377504,0.8861578017717846,0.8674863814966958,0.909284332688588
0.30000000000000004,0.8346884787801887,0.8309917364789624,0.83842609791476,0.8433122637116031,0.8407331160365058,0.8482184820681908,0.28290084250834574,0.23466804201050262,0.35108600263273365,0.9868885774961755,0.9834762803351088,0.9897756223126947,0.02744091695839067,0.018882040653067162,0.03542879292144386,0.9094648583897902,0.9071881899424843,0.9116159006842856,0.049931788842757834,0.0350005171100755,0.06421052631578947,0.02744091695839067,0.018882040653067162,0.03542879292144386,0.9868885774961755,0.9834762803351088,0.9897756223126947,0.01311142250382447,0.010224377687305294,0.0165237196648911,0.9725590830416093,0.9645712070785561,0.9811179593469328
0.3500000000000001,0.8399879267206763,0.8349770976222558,0.843201510796955,0.8421487172459028,0.8381293538269825,0.8454205886955096,0.360169654906497,0.21508097165991902,0.5645833333333334,0.996592305203561,0.9948083879629657,0.9981198491899225,0.01006059922459985,0.004342304489363313,0.014992263056092844,0.912882205661717,0.9099369287042266,0.914868855954502,0.01953528012325595,0.008526928865911916,0.028892482981702314,0.01006059922459985,0.004342304489363313,0.014992263056092844,0.996592305203561,0.9948083879629657,0.9981198491899225,0.003407694796438912,0.0018801508100775375,0.005191612037034325,0.9899394007754001,0.9850077369439072,0.9956576955106367
0.40000000000000013,0.8417897571962326,0.8363828619463295,0.8456415414610553,0.8425416535655457,0.8371583417534909,0.8460258554727939,0.5085714285714287,0.21125000000000002,1.0,0.9987399202879992,0.9970829382303057,1.0,0.0057772823645269285,0.001897253548476921,0.012755281291083005,0.9140127857902538,0.9108434106614017,0.9161922114839124,0.011390672146713332,0.0037642482848036303,0.02503959102652052,0.0057772823645269285,0.001897253548476921,0.012755281291083005,0.9987399202879992,0.9970829382303057,1.0,0.001260079712000864,0.0,0.002917061769694299,0.9942227176354729,0.987244718708917,0.9981027464515231
0.45000000000000007,0.8409773453920895,0.8388113145286785,0.8437835597068503,0.8415178753016794,0.8394283048197453,0.8448281591681891,0.3519047619047619,0.0,1.0,0.9991767506018402,0.9983735179150321,1.0,0.0017089214994606486,0.0,0.003867307156780841,0.9135942821239237,0.9122896640308981,0.9152244364897582,0.0033911796538611838,0.0,0.007637516115169747,0.0017089214994606486,0.0,0.003867307156780841,0.9991767506018402,0.9983735179150321,1.0,0.0008232493981599167,0.0,0.0016264820849678414,0.9982910785005394,0.9961326928432191,1.0
0.5000000000000001,0.8420506080110318,0.839294632775246,0.8473380978877838,0.8422945126380122,0.8396725580800166,0.8473274350181923,0.2,0.0,1.0,0.9996420497496936,0.9990070403455611,1.0,0.00037885446750497785,0.0,0.0019080847399860082,0.9142459413407142,0.9126202153372439,0.9173531660841351,0.0007562760908103163,0.0,0.0038089008978098014,0.00037885446750497785,0.0,0.0019080847399860082,0.9996420497496936,0.9990070403455611,1.0,0.00035795025030629506,0.0,0.000992959654438934,0.999621145532495,0.998091915260014,1.0
